u,e,t,l,f,o
STILL,5.0,dark-theme,largeCards,small-font,Y
STILL,5.0,dark-theme,largeCards,small-font,Y
STILL,5.0,dark-theme,largeCards,large-font,Y
STILL,5.0,dark-theme,largeCards,large-font,Y
STILL,5.0,dark-theme,largeCards,large-font,Y
ON_FOOT,30.0,light-theme,xLargeCards,small-font,Y
STILL,8.0,dark-theme,xLargeCards,small-font,Y
STILL,8.0,dark-theme,xLargeCards,small-font,Y
STILL,206.0,dark-theme,xLargeCards,small-font,N
STILL,223.0,dark-theme,xLargeCards,small-font,N
STILL,182.0,light-theme,xLargeCards,large-font,Y
STILL,194.0,light-theme,xLargeCards,small-font,Y
STILL,97.0,light-theme,xLargeCards,large-font,Y
STILL,102.0,light-theme,xLargeCards,large-font,Y
STILL,90.0,light-theme,xLargeCards,large-font,Y
STILL,0.0,dark-theme,xLargeCards,small-font,Y
STILL,0.0,dark-theme,xLargeCards,large-font,N
STILL,0.0,dark-theme,largeCards,large-font,N
ON_FOOT,13.0,dark-theme,xLargeCards,large-font,Y
ON_FOOT,3.0,dark-theme,xLargeCards,large-font,Y
ON_FOOT,6.0,light-theme,largeCards,small-font,N
ON_FOOT,0.0,dark-theme,xLargeCards,large-font,Y
ON_FOOT,0.0,dark-theme,xLargeCards,large-font,Y
STILL,0.0,dark-theme,largeCards,small-font,N
STILL,0.0,dark-theme,largeCards,small-font,N
STILL,0.0,dark-theme,xLargeCards,small-font,N
STILL,222.0,light-theme,xLargeCards,small-font,Y
STILL,208.0,light-theme,xLargeCards,small-font,Y
STILL,70.0,light-theme,xLargeCards,large-font,N
STILL,26.0,light-theme,largeCards,small-font,Y
STILL,26.0,light-theme,largeCards,small-font,Y
STILL,26.0,light-theme,largeCards,large-font,Y
STILL,12.0,dark-theme,xLargeCards,large-font,N
STILL,0.0,dark-theme,xLargeCards,large-font,N
STILL,3.0,dark-theme,xLargeCards,large-font,N
STILL,51.0,dark-theme,xLargeCards,small-font,N
IN_VEHICLE,19.0,light-theme,largeCards,large-font,N
IN_VEHICLE,13.0,light-theme,xLargeCards,large-font,N
STILL,17.0,light-theme,largeCards,large-font,Y
STILL,16.0,light-theme,largeCards,large-font,Y
STILL,69.0,light-theme,largeCards,large-font,N
STILL,104.0,dark-theme,xLargeCards,large-font,N
ON_FOOT,0.0,dark-theme,xLargeCards,large-font,N
ON_FOOT,19.0,light-theme,largeCards,small-font,N
